0 49
25 31 17
15 36 16
0 39 4
42 44 10
37 38 10
12 24 11
46 49 13
40 41 17
14 25 16
42 43 1
9 29 1
30 49 10
7 23 2
5 35 10
21 39 19
29 48 18
10 44 4
12 23 18
43 45 20
11 26 14
32 46 19
45 47 7
26 38 4
18 22 14
10 11 8
27 28 17
28 47 10
41 48 6
42 46 8
31 39 11
37 40 10
36 43 10
28 30 1
6 43 15
0 4 5
13 21 19
5 25 19
9 20 3
7 14 14
3 44 2
12 22 10
19 44 1
1 10 19
3 21 5
9 27 2
4 12 5
29 40 19
25 49 10
33 39 9
45 49 13
11 47 4
20 29 5
39 47 8
32 40 11
4 41 15
8 45 17
45 48 19
25 47 18
47 49 7
42 44 1
43 49 9
42 44 15
34 43 18
8 36 14
35 37 9
23 44 1
19 24 3
47 49 13
8 17 14
39 49 11
0 18 17
37 46 8
6 22 6
33 43 2
40 43 12
2 4 4
34 35 11
34 43 19
21 43 4
33 44 2
30 49 16
47 48 16
2 5 12
12 30 16
41 44 19
9 45 10
22 41 5
35 43 17
48 49 16
47 49 14
10 39 13
42 43 20
0 1 3
1 2 19
2 3 10
3 6 1
6 7 17
7 8 20
8 9 8
9 13 9
13 15 19
15 19 17
19 32 9
32 33 19
33 34 1
34 42 7
